%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1748457055194580495,38,1748457055173557467,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.00934368372e-07,0.0,0.0,0.0,0.0,0.0,0.0,39000000.0,0.0,0.0,0.0,0.0,0.0,0.0,400.740383761,0.0,0.0,0.0,0.0,0.0,0.0,400.740383761,0.0,0.0,0.0,0.0,0.0,0.0,2.0044037126e-05
1748457055227388467,39,1748457055213713317,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61246862262e-06,0.0,0.0,0.0,0.0,0.0,0.0,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1609.89738199,0.0,0.0,0.0,0.0,0.0,0.0,1609.89738199,0.0,0.0,0.0,0.0,0.0,0.0,8.06205834254e-05
1748457055264029827,40,1748457055253585048,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58988405019e-06,0.0,0.0,0.0,0.0,0.0,0.0,41000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1587.23567295,0.0,0.0,0.0,0.0,0.0,0.0,1587.23567295,0.0,0.0,0.0,0.0,0.0,0.0,7.94837724518e-05
1748457055298654106,41,1748457055293579489,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5995465219e-06,0.0,0.0,0.0,0.0,0.0,0.0,42000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.00486146,0.0,0.0,0.0,0.0,0.0,0.0,1597.00486146,0.0,0.0,0.0,0.0,0.0,0.0,7.99737668506e-05
1748457055337045095,42,1748457055314058879,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19444404542e-07,0.0,0.0,0.0,0.0,0.0,0.0,43000000.0,0.0,0.0,0.0,0.0,0.0,0.0,419.229867845,0.0,0.0,0.0,0.0,0.0,0.0,419.229867845,0.0,0.0,0.0,0.0,0.0,0.0,2.09692222771e-05
1748457055362973754,43,1748457055355813609,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.743552275e-06,0.0,0.0,0.0,0.0,0.0,0.0,44000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1740.42439301,0.0,0.0,0.0,0.0,0.0,0.0,1740.42439301,0.0,0.0,0.0,0.0,0.0,0.0,8.71685154353e-05
1748457055403072574,44,1748457055373698634,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1990930438e-07,0.0,0.0,0.0,0.0,0.0,0.0,45000000.0,0.0,0.0,0.0,0.0,0.0,0.0,319.772010174,0.0,0.0,0.0,0.0,0.0,0.0,319.772010174,0.0,0.0,0.0,0.0,0.0,0.0,1.5992906317e-05
1748457055428222731,45,1748457055413809379,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60885974765e-06,0.0,0.0,0.0,0.0,0.0,0.0,46000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.2883784,0.0,0.0,0.0,0.0,0.0,0.0,1606.2883784,0.0,0.0,0.0,0.0,0.0,0.0,8.04395712377e-05
1748457055460770060,46,1748457055453707413,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59197952598e-06,0.0,0.0,0.0,0.0,0.0,0.0,47000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.32719896,0.0,0.0,0.0,0.0,0.0,0.0,1589.32719896,0.0,0.0,0.0,0.0,0.0,0.0,7.95886764131e-05
1748457055494066937,47,1748457055476193084,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05475327373e-07,0.0,0.0,0.0,0.0,0.0,0.0,48000000.0,0.0,0.0,0.0,0.0,0.0,0.0,505.350297922,0.0,0.0,0.0,0.0,0.0,0.0,505.350297922,0.0,0.0,0.0,0.0,0.0,0.0,2.52790060651e-05
1748457055528243361,48,1748457055513745299,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41013879329e-06,0.0,0.0,0.0,0.0,0.0,0.0,49000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1408.18407709,0.0,0.0,0.0,0.0,0.0,0.0,1408.18407709,0.0,0.0,0.0,0.0,0.0,0.0,7.05049173193e-05
1748457055563720882,49,1748457055553759480,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60117633641e-06,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.57874047,0.0,0.0,0.0,0.0,0.0,0.0,1598.57874047,0.0,0.0,0.0,0.0,0.0,0.0,8.00527314122e-05
